WP_005765660.1	WP_005765660.1	100.000	503
WP_005765663.1	WP_005765663.1	100.000	618
WP_005765667.1	WP_005765667.1	100.000	481
WP_005765670.1	WP_005765670.1	100.000	401
WP_005765671.1	WP_005765671.1	100.000	604
WP_005765688.1	WP_005765688.1	100.000	1280
WP_005765690.1	WP_005765690.1	100.000	444
WP_005765692.1	WP_005765692.1	100.000	536
WP_005765693.1	WP_005765693.1	100.000	614
WP_005765698.1	WP_005765698.1	100.000	437
WP_005765700.1	WP_005765700.1	100.000	786
WP_005765702.1	WP_005765702.1	100.000	884
WP_005765704.1	WP_005765704.1	100.000	589
WP_005765706.1	WP_005765706.1	100.000	361
WP_005765708.1	WP_005765708.1	100.000	841
WP_005765710.1	WP_005765710.1	100.000	649
WP_005765712.1	WP_005765712.1	100.000	803
WP_005765714.1	WP_005765714.1	100.000	595
WP_005765729.1	WP_005765729.1	100.000	854
WP_005765735.1	WP_005765735.1	100.000	219
WP_005765739.1	WP_005765739.1	100.000	328
WP_005765751.1	WP_005765751.1	100.000	643
WP_005765753.1	WP_005765753.1	100.000	521
WP_005765755.1	WP_005765755.1	100.000	748
WP_005765757.1	WP_005765757.1	100.000	551
WP_005765763.1	WP_005765763.1	100.000	576
WP_005765768.1	WP_005765768.1	100.000	572
WP_005765769.1	WP_005765769.1	100.000	341
WP_005765771.1	WP_005765771.1	100.000	479
WP_005765773.1	WP_005765773.1	100.000	960
WP_005765774.1	WP_005765774.1	100.000	120
WP_005765777.1	WP_005765777.1	100.000	874
WP_005765789.1	WP_005765789.1	100.000	738
WP_005765799.1	WP_005765799.1	100.000	1011
WP_005765801.1	WP_005765801.1	100.000	241
WP_005765808.1	WP_005765808.1	100.000	1183
WP_005765810.1	WP_005765810.1	100.000	1109
WP_005765812.1	WP_005765812.1	100.000	102
WP_005765816.1	WP_005765816.1	100.000	201
WP_005765822.1	WP_005765822.1	100.000	687
WP_005765824.1	WP_005765824.1	100.000	431
WP_005765825.1	WP_005765825.1	100.000	189
WP_005765827.1	WP_005765827.1	100.000	667
WP_005765829.1	WP_005765829.1	100.000	565
WP_005765837.1	WP_005765837.1	100.000	272
WP_005765839.1	WP_005765839.1	100.000	258
WP_005765848.1	WP_005765848.1	100.000	563
WP_005765849.1	WP_005765849.1	100.000	808
WP_005765850.1	WP_005765850.1	100.000	1355
WP_005765851.1	WP_005765851.1	100.000	421
WP_005765852.1	WP_005765852.1	100.000	657
WP_005765853.1	WP_005765853.1	100.000	444
WP_005765864.1	WP_005765864.1	100.000	431
WP_005765868.1	WP_005765868.1	100.000	382
WP_005765873.1	WP_005765873.1	100.000	1090
WP_005765875.1	WP_005765875.1	100.000	276
WP_005765879.1	WP_005765879.1	100.000	674
WP_005765881.1	WP_005765881.1	100.000	859
WP_005765887.1	WP_005765887.1	100.000	124
WP_005765891.1	WP_005765891.1	100.000	229
WP_005765893.1	WP_005765893.1	100.000	1098
WP_005765897.1	WP_005765897.1	100.000	430
WP_005765899.1	WP_005765899.1	100.000	251
WP_005765903.1	WP_005765903.1	100.000	172
WP_005765907.1	WP_005765907.1	100.000	383
WP_005765909.1	WP_005765909.1	100.000	258
WP_005765911.1	WP_005765911.1	100.000	179
WP_005765915.1	WP_005765915.1	100.000	687
WP_005765918.1	WP_005765918.1	100.000	702
WP_005765923.1	WP_005765923.1	100.000	912
WP_005765927.1	WP_005765927.1	100.000	298
WP_005765929.1	WP_005765929.1	100.000	473
WP_005765934.1	WP_005765934.1	100.000	742
WP_005765945.1	WP_005765945.1	100.000	733
WP_005765953.1	WP_005765953.1	100.000	469
WP_005765954.1	WP_005765954.1	100.000	743
WP_005765956.1	WP_005765956.1	100.000	389
WP_005765958.1	WP_005765958.1	100.000	536
WP_005765962.1	WP_005765962.1	100.000	152
WP_005765964.1	WP_005765964.1	100.000	508
WP_005765971.1	WP_005765971.1	100.000	478
WP_005765980.1	WP_005765980.1	100.000	926
WP_005765983.1	WP_005765983.1	100.000	650
WP_005765984.1	WP_005765984.1	100.000	308
WP_005766000.1	WP_005766000.1	100.000	546
WP_005766004.1	WP_005766004.1	100.000	418
WP_005766025.1	WP_005766025.1	100.000	209
WP_005766027.1	WP_005766027.1	100.000	276
WP_005766029.1	WP_005766029.1	100.000	127
WP_005766030.1	WP_005766030.1	100.000	135
WP_005766033.1	WP_005766033.1	100.000	110
WP_005766036.1	WP_005766036.1	100.000	587
WP_005766039.1	WP_005766039.1	100.000	81.6
WP_005766040.1	WP_005766040.1	100.000	795
WP_005766045.1	WP_005766045.1	100.000	332
WP_005766051.1	WP_005766051.1	100.000	148
WP_005766055.1	WP_005766055.1	100.000	124
WP_005766069.1	WP_172952858.1	100.000	96.3
WP_005766089.1	WP_005766089.1	100.000	1014
WP_005766090.1	WP_005766090.1	100.000	688
WP_005766092.1	WP_005766092.1	100.000	810
WP_005766093.1	WP_005766093.1	100.000	135
WP_005766094.1	WP_005766094.1	100.000	135
WP_005766095.1	WP_005766095.1	100.000	678
WP_005766096.1	WP_005766096.1	100.000	201
WP_005766097.1	WP_005766097.1	100.000	447
WP_005766098.1	WP_005766098.1	100.000	172
WP_005766101.1	WP_005766101.1	100.000	263
WP_005766108.1	WP_005766108.1	100.000	440
WP_005766118.1	WP_005766118.1	100.000	162
WP_005766138.1	WP_005766138.1	100.000	239
WP_005766141.1	WP_005766141.1	100.000	188
WP_005766179.1	WP_005766179.1	100.000	877
WP_005766181.1	WP_005766181.1	100.000	1022
WP_005766184.1	WP_005766184.1	100.000	698
WP_005766186.1	WP_005766186.1	100.000	991
WP_005766194.1	WP_005766194.1	100.000	989
WP_005766195.1	WP_005766195.1	100.000	896
WP_005766197.1	WP_005766197.1	100.000	603
WP_005766199.1	WP_005766199.1	100.000	1275
WP_005766201.1	WP_005766201.1	100.000	91.3
WP_005766203.1	WP_005766203.1	100.000	508
WP_005766206.1	WP_005766206.1	100.000	151
WP_005766230.1	WP_005766230.1	100.000	769
WP_005766233.1	WP_005766233.1	100.000	841
WP_005766235.1	WP_005766235.1	100.000	399
WP_005766238.1	WP_005766238.1	100.000	263
WP_005766240.1	WP_005766240.1	100.000	331
WP_005766242.1	WP_005766242.1	100.000	818
WP_005766244.1	WP_005766244.1	100.000	872
WP_005766249.1	WP_005766249.1	100.000	353
WP_005766252.1	WP_005766252.1	100.000	376
WP_005766255.1	WP_005766255.1	100.000	187
WP_005766258.1	WP_005766258.1	100.000	221
WP_005766260.1	WP_005766260.1	100.000	364
WP_005766262.1	WP_005766262.1	100.000	1229
WP_005766264.1	WP_005766264.1	100.000	926
WP_005766267.1	WP_005766267.1	100.000	867
WP_005766269.1	WP_005766269.1	100.000	607
WP_005766272.1	WP_005766272.1	100.000	672
WP_005766273.1	WP_005766273.1	100.000	258
WP_005766275.1	WP_005766275.1	100.000	945
WP_005766282.1	WP_005766282.1	100.000	589
WP_005766299.1	WP_005766299.1	100.000	915
WP_005766301.1	WP_005766301.1	100.000	645
