WP_005767250.1	bacilliformis	100.000
WP_005767719.1	bacilliformis	100.000
WP_005767721.1	bacilliformis	100.000
WP_005767722.1	bacilliformis	100.000
WP_005767724.1	bacilliformis	100.000
WP_005767726.1	bacilliformis	100.000
WP_005767728.1	bacilliformis	100.000
WP_005767730.1	bacilliformis	100.000
WP_005767740.1	bacilliformis	100.000
WP_005767742.1	bacilliformis	100.000
WP_005767744.1	bacilliformis	100.000
WP_005767748.1	bacilliformis	100.000
WP_005767758.1	bacilliformis	100.000
WP_005767760.1	bacilliformis	100.000
WP_005767762.1	bacilliformis	100.000
WP_005767766.1	bacilliformis	100.000
WP_005767768.1	bacilliformis	100.000
WP_005767770.1	bacilliformis	100.000
WP_005767773.1	bacilliformis	100.000
WP_005767776.1	bacilliformis	100.000
WP_005767779.1	bacilliformis	100.000
WP_005767781.1	bacilliformis	100.000
WP_005767784.1	bacilliformis	100.000
WP_005767791.1	bacilliformis	100.000
WP_005767793.1	bacilliformis	100.000
WP_005767802.1	bacilliformis	100.000
WP_005767804.1	bacilliformis	100.000
WP_005767815.1	bacilliformis	100.000
WP_005767817.1	bacilliformis	100.000
WP_011807398.1	bacilliformis	100.000
WP_011807419.1	bacilliformis	100.000
WP_005767250.1	clarridgeiae	65.116
WP_005767719.1	clarridgeiae	93.182
WP_005767721.1	clarridgeiae	75.912
WP_005767722.1	clarridgeiae	81.203
WP_005767724.1	clarridgeiae	89.344
WP_005767726.1	clarridgeiae	68.056
WP_005767728.1	clarridgeiae	72.807
WP_005767730.1	clarridgeiae	77.586
WP_005767740.1	clarridgeiae	42.350
WP_005767742.1	clarridgeiae	57.275
WP_005767744.1	clarridgeiae	61.838
WP_005767748.1	clarridgeiae	82.033
WP_005767758.1	clarridgeiae	83.200
WP_005767760.1	clarridgeiae	60.241
WP_005767762.1	clarridgeiae	77.489
WP_005767766.1	clarridgeiae	85.354
WP_005767768.1	clarridgeiae	76.692
WP_005767770.1	clarridgeiae	85.878
WP_005767773.1	clarridgeiae	63.793
WP_005767776.1	clarridgeiae	85.401
WP_005767779.1	clarridgeiae	71.875
WP_005767781.1	clarridgeiae	76.228
WP_005767784.1	clarridgeiae	85.597
WP_005767791.1	clarridgeiae	88.966
WP_005767793.1	clarridgeiae	73.913
WP_005767802.1	clarridgeiae	78.729
WP_005767804.1	clarridgeiae	79.096
WP_005767815.1	clarridgeiae	69.291
WP_005767817.1	clarridgeiae	87.536
WP_011807398.1	clarridgeiae	68.672
WP_011807419.1	clarridgeiae	75.000
WP_005767250.1	schoenbuchensis	55.000
WP_005767719.1	schoenbuchensis	90.909
WP_005767721.1	schoenbuchensis	68.667
WP_005767722.1	schoenbuchensis	85.156
WP_005767724.1	schoenbuchensis	88.525
WP_005767726.1	schoenbuchensis	72.500
WP_005767728.1	schoenbuchensis	78.289
WP_005767730.1	schoenbuchensis	77.778
WP_005767740.1	schoenbuchensis	46.347
WP_005767742.1	schoenbuchensis	60.307
WP_005767744.1	schoenbuchensis	60.882
WP_005767748.1	schoenbuchensis	82.491
WP_005767758.1	schoenbuchensis	84.190
WP_005767760.1	schoenbuchensis	62.745
WP_005767762.1	schoenbuchensis	80.275
WP_005767766.1	schoenbuchensis	84.672
WP_005767768.1	schoenbuchensis	79.104
WP_005767770.1	schoenbuchensis	87.786
WP_005767773.1	schoenbuchensis	64.103
WP_005767776.1	schoenbuchensis	84.672
WP_005767779.1	schoenbuchensis	71.875
WP_005767781.1	schoenbuchensis	87.330
WP_005767784.1	schoenbuchensis	84.016
WP_005767791.1	schoenbuchensis	86.207
WP_005767793.1	schoenbuchensis	80.782
WP_005767802.1	schoenbuchensis	78.994
WP_005767804.1	schoenbuchensis	82.865
WP_005767815.1	schoenbuchensis	75.096
WP_005767817.1	schoenbuchensis	88.542
WP_011807398.1	schoenbuchensis	69.744
WP_011807419.1	schoenbuchensis	78.723
WP_005767250.1	ancashensis	67.273
WP_005767719.1	ancashensis	92.045
WP_005767721.1	ancashensis	76.687
WP_005767722.1	ancashensis	70.992
WP_005767724.1	ancashensis	92.623
WP_005767726.1	ancashensis	74.722
WP_005767728.1	ancashensis	85.088
WP_005767730.1	ancashensis	85.396
WP_005767740.1	ancashensis	46.491
WP_005767742.1	ancashensis	59.948
WP_005767744.1	ancashensis	59.773
WP_005767748.1	ancashensis	82.940
WP_005767758.1	ancashensis	82.869
WP_005767760.1	ancashensis	60.606
WP_005767762.1	ancashensis	79.565
WP_005767766.1	ancashensis	86.064
WP_005767768.1	ancashensis	76.159
WP_005767770.1	ancashensis	90.840
WP_005767773.1	ancashensis	62.500
WP_005767776.1	ancashensis	87.591
WP_005767779.1	ancashensis	78.906
WP_005767781.1	ancashensis	73.469
WP_005767784.1	ancashensis	81.148
WP_005767791.1	ancashensis	90.000
WP_005767793.1	ancashensis	73.041
WP_005767802.1	ancashensis	77.348
WP_005767804.1	ancashensis	83.989
WP_005767815.1	ancashensis	75.000
WP_005767817.1	ancashensis	89.115
WP_011807398.1	ancashensis	83.158
WP_011807419.1	ancashensis	81.818
WP_005767250.1	tribocorum	45.506
WP_005767781.1	tribocorum	30.945
WP_005767250.1	quintana	46.067
WP_005767781.1	quintana	29.938
WP_005767250.1	henselae	49.438
WP_005767781.1	henselae	30.556
